risk_profile,row_index,customer_id,probability,feature,feature_value,shap_value
low,46,12681,0.03567768651001671,frequency_orders,37.0,-0.06963827527242714
low,46,12681,0.03567768651001671,avg_order_value,635.6702702702703,-0.0009355487369070606
low,46,12681,0.03567768651001671,avg_basket_units,398.8918918918919,-0.0036838985986957055
low,46,12681,0.03567768651001671,avg_distinct_products_per_order,33.027027027027025,-0.0021699879681269982
low,46,12681,0.03567768651001671,recency_days,61.049305555555556,-0.07600925954464748
low,46,12681,0.03567768651001671,customer_tenure_days,635.9715277777777,0.0030729973260222015
low,46,12681,0.03567768651001671,unique_product_count,423.0,-0.031996817775623715
low,46,12681,0.03567768651001671,net_spend,23275.73,-0.06711648002006608
low,46,12681,0.03567768651001671,mean_interpurchase_gap_days,15.970061728395061,-0.022220550908249828
low,46,12681,0.03567768651001671,variance_interpurchase_gap_days,129.3926577175974,-0.03240984631384564
low,46,12681,0.03567768651001671,purchase_frequency_trend,-0.027472527472527472,-0.011794260857727642
low,46,12681,0.03567768651001671,seasonal_purchase_concentration,0.1891891891891892,-0.0411296156722337
low,46,12681,0.03567768651001671,return_rate,0.00589470831357138,-0.015095272014754522
low,46,12681,0.03567768651001671,markdown_affinity_proxy,0.2702702702702703,-0.007874375616704172
low,46,12681,0.03567768651001671,mean_product_popularity,0.0008203848076187544,-0.0006316211325622832
low,46,12681,0.03567768651001671,median_product_popularity,0.0006291526708715476,-0.0021189739013305025
low,46,12681,0.03567768651001671,max_product_popularity,0.00504375111878613,-0.003647137375191572
low,46,12681,0.03567768651001671,rare_product_share,0.0016420361247947454,-0.0031441128896737623
low,46,12681,0.03567768651001671,category_affinity_01,0.007187561118716994,-0.0024007269624301405
low,46,12681,0.03567768651001671,category_affinity_02,0.050689206540871924,-0.008216970413475846
low,46,12681,0.03567768651001671,category_affinity_03,0.09845917057117831,-0.001164300592248823
low,46,12681,0.03567768651001671,category_affinity_04,0.10377214091956563,0.005218398505569196
low,46,12681,0.03567768651001671,category_affinity_05,0.0,-0.00035323901668050136
low,46,12681,0.03567768651001671,category_affinity_06,0.002449000416670209,-0.0013103358676189736
