customer_id,cutoff,event_position_oldest_zero,event_recency_rank,base_probability,masked_probability,probability_delta
13798,2011-07-01T00:00:00.000000000,18,2,0.9793095588684082,0.9742484092712402,0.005061149597167969
13798,2011-07-01T00:00:00.000000000,19,1,0.9793095588684082,0.9743589758872986,0.004950582981109619
13798,2011-07-01T00:00:00.000000000,17,3,0.9793095588684082,0.9747081398963928,0.004601418972015381
13798,2011-07-01T00:00:00.000000000,16,4,0.9793095588684082,0.9757614135742188,0.003548145294189453
13798,2011-07-01T00:00:00.000000000,15,5,0.9793095588684082,0.9764257073402405,0.0028838515281677246
13798,2011-07-01T00:00:00.000000000,12,8,0.9793095588684082,0.9768781661987305,0.0024313926696777344
13798,2011-07-01T00:00:00.000000000,11,9,0.9793095588684082,0.9778247475624084,0.0014848113059997559
13798,2011-07-01T00:00:00.000000000,8,12,0.9793095588684082,0.9785323143005371,0.0007772445678710938
13798,2011-07-01T00:00:00.000000000,13,7,0.9793095588684082,0.979500412940979,-0.00019085407257080078
13798,2011-07-01T00:00:00.000000000,14,6,0.9793095588684082,0.9795854091644287,-0.0002758502960205078
13798,2011-07-01T00:00:00.000000000,2,18,0.9793095588684082,0.9796798825263977,-0.00037032365798950195
13798,2011-07-01T00:00:00.000000000,0,20,0.9793095588684082,0.9797381162643433,-0.0004285573959350586
13798,2011-07-01T00:00:00.000000000,1,19,0.9793095588684082,0.9799447059631348,-0.0006351470947265625
13798,2011-07-01T00:00:00.000000000,6,14,0.9793095588684082,0.9803855419158936,-0.0010759830474853516
13798,2011-07-01T00:00:00.000000000,3,17,0.9793095588684082,0.9803999662399292,-0.001090407371520996
13798,2011-07-01T00:00:00.000000000,4,16,0.9793095588684082,0.9804906249046326,-0.0011810660362243652
13798,2011-07-01T00:00:00.000000000,5,15,0.9793095588684082,0.9807689189910889,-0.001459360122680664
13798,2011-07-01T00:00:00.000000000,7,13,0.9793095588684082,0.981196939945221,-0.0018873810768127441
13798,2011-07-01T00:00:00.000000000,9,11,0.9793095588684082,0.9815059900283813,-0.0021964311599731445
13798,2011-07-01T00:00:00.000000000,10,10,0.9793095588684082,0.9815433621406555,-0.0022338032722473145
