algorithm,kmeans_segment,recency_days,frequency_orders,net_spend,avg_order_value,avg_basket_units,purchase_frequency_trend,variance_interpurchase_gap_days,return_rate,markdown_affinity_proxy,seasonal_purchase_concentration,customer_count,business_label,gmm_segment
kmeans,0.0,52.182766172506746,13.873315363881401,5727.729272237197,412.05873193196624,256.102512494691,-0.029383015905926957,2021.166385715302,0.01624974051420921,0.4011792950795889,0.36316295315850416,371,Loyal High Value,
kmeans,1.0,371.02854506604507,1.7027972027972027,421.43894230769234,261.9863089030724,149.2781772738722,-0.00013448090371167296,238.04817245773734,0.010722845940891446,0.017220626595626596,0.8924692464683723,1144,Lowest Engagement,
kmeans,2.0,138.06883810116085,3.8582089552238807,1153.6157462686567,306.8468737562189,175.09872068230277,-0.00012301131704116718,21684.622651732607,0.022019345249583527,0.29511371712864254,0.5242093105899076,134,Developing,
kmeans,3.0,102.94028369023049,8.01625386996904,2817.8108436532507,337.70033669504056,197.79876813509406,0.007467764433708707,2401.981604734711,0.012281819329043953,0.2619498319938788,0.38027262755292507,1292,Established,
kmeans,4.0,301.7614929848382,2.7209775967413443,1602.5204480651732,526.7277336225409,321.2964790422175,0.0002685705333363176,726.399944042398,0.018674487796189295,0.8853175034116095,0.7623958326908687,491,At Risk,
kmeans,5.0,319.46410590277776,2.25,460.05312499999997,646.9858854166667,1203.5625,0.0013736263736263737,1279.694434450419,1.1105683835629658,0.375,0.8802083333333334,16,Dormant,
kmeans,6.0,348.7998611111111,2.6,14967.708000000002,14038.351733333335,35961.573333333334,0.0,872.4602156816649,0.30220918391751384,0.8666666666666666,0.76,5,Occasional,
kmeans,7.0,10.312927350427351,140.23076923076923,140861.32,1352.5498708366233,762.9492215063686,-0.007185122569737959,63.23656589148835,0.02928862590263018,0.6955196368472265,0.22984532744127686,13,Champions,
gmm,,34.95354114452799,10.819548872180452,3676.3146165413536,350.0034429827622,207.61116081396287,0.0007105676278608621,1384.3928874827045,0.004715529377019193,0.3374675462518413,0.34477305917846246,665,Loyal High Value,0.0
gmm,,53.63329365079365,5.5396825396825395,1474.9954285714286,292.9108173472031,169.15190042139622,-0.002476888191173905,8667.753571096215,0.03937559572522476,0.3080059151347667,0.46600916201756537,315,Developing,1.0
gmm,,362.0487304314624,1.2852233676975946,306.3848224513173,240.4599179075983,134.24608629247803,6.987544683767962e-21,0.34534962768735944,0.0,0.0,0.9108438335242458,873,Lowest Engagement,2.0
gmm,,289.4769542772861,7.911504424778761,6124.010973451327,1685.7395518045173,2405.6569597634066,1.6195026129901144e-20,1266.105761066801,0.08796245075246034,0.5682705524402767,0.5528709361530717,113,Established,3.0
gmm,,26.273662378821776,35.97315436241611,25680.11744966443,858.1342312112178,548.0587045604037,-0.007080168153993656,964.4403296796056,0.023006248506007937,0.624707958549254,0.2688954004783849,149,Champions,4.0
gmm,,341.7989772041063,1.0869565217391304,471.36097826086956,419.838125,255.5,0.0,0.0,0.0002021134562778392,1.0,1.0,184,Dormant,5.0
gmm,,221.92958719623542,5.075853350189633,1409.6974968394436,284.10675668241385,160.92913319173823,6.632248796054754e-20,4393.654182857542,0.0067762303674746335,0.2520284188927753,0.474768771505962,791,Occasional,6.0
gmm,,317.023398714539,1.7180851063829787,546.6630585106383,349.7141134751773,199.99800531914894,1.622374071523785e-20,0.4899279070825992,0.08414984914033044,0.3683510638297872,0.7424645390070922,376,At Risk,7.0
