,frequency_orders,gross_spend,avg_order_value,avg_basket_units,avg_distinct_products_per_order,recency_days,customer_tenure_days,unique_product_count,net_spend,historical_customer_value,mean_interpurchase_gap_days,variance_interpurchase_gap_days,purchase_frequency_trend,seasonal_purchase_concentration,return_rate,markdown_affinity_proxy,mean_product_popularity,median_product_popularity,max_product_popularity,rare_product_share,category_affinity_unknown,category_affinity_00,category_affinity_01,category_affinity_02,category_affinity_03,category_affinity_04,category_affinity_05,category_affinity_06,category_affinity_07,category_affinity_08,category_affinity_09,category_affinity_10,category_affinity_11,category_affinity_12,category_affinity_13,category_affinity_14,category_affinity_15,category_affinity_16,category_affinity_17,category_affinity_18,category_affinity_19,category_affinity_20,category_affinity_21,category_affinity_22,category_affinity_23,category_affinity_24,category_affinity_25,category_affinity_26,category_affinity_27,category_affinity_28,category_affinity_29,engagement_score
frequency_orders,1.0,0.638192789002178,0.0560712534532621,0.004249742678974265,-0.01294187096825991,-0.33552523230578746,0.2802191209996125,0.7349392657472998,0.6370922498834302,0.6370922498834302,-0.10096178610830808,-0.027278275193761598,-0.0844138076940995,-0.3885276008766059,0.0021828452254042154,0.1181629527370175,0.05815328008873044,0.03717134792177164,0.24899219751534665,-0.0005122836266833106,0.043151813081611146,0.04267223301235163,0.004668668275739628,-0.029126898325268803,-0.019570634803401293,0.021311469675805345,-0.026352612567039125,-0.02379500700458482,0.0067070688838261686,0.05290735180165753,-0.013295755029007613,0.03402791727063964,-0.01770670959905433,-0.023692125455117796,-0.029623493262953323,-2.605305401928375e-05,-0.005317432274479587,-0.01092313454973031,-0.03935141163591919,-0.014968807663458967,0.013642693340232133,0.005237103328019037,-0.033738399493092,-0.0019453606255918513,0.009038385432247956,0.006990966877437245,-0.035396165551068504,-0.00701224404512877,0.029601769082290483,0.017192383596597156,-0.0016847345872636871,0.5054436056986289
gross_spend,0.638192789002178,1.0,0.2917147858477786,0.10031241899678427,0.009735752516242025,-0.16706253381945013,0.14943054210966678,0.42888975504008664,0.9928847290304216,0.9928847290304216,-0.06184740291330365,-0.02972984302021547,-0.06471306052215055,-0.19209197976039136,0.03083355982667804,0.1552048140536244,0.03719830532871789,0.03350476448913879,0.13515350763543715,0.008560585130872048,0.018627353227733838,0.03365377705536553,-0.004905056083637785,-0.014248211215458568,-0.005711686762818024,0.02640138356200822,-0.02773985414840725,-0.03347300642704688,0.00403499974848447,0.04534104092667164,0.0005261498900187544,0.01656186915092778,-0.002431976080496944,-0.020778058593599734,-0.0236125107165858,0.0007662023794489733,0.002859729658629241,-0.0011259313972397588,-0.02809578736639682,-0.017201769986895637,0.006442968171290052,-0.008140646871250011,-0.026064412593450225,-0.0007712346505944654,0.0013096249784787068,-0.00046838633397730024,0.0016143775446655253,-0.0025670799337503816,0.01757705124656474,0.0013963392554227937,0.019916109794101362,0.26964538781334424
avg_order_value,0.0560712534532621,0.2917147858477786,1.0,0.5862092612429778,0.19506797536153117,-0.03092872089559265,0.02442558161891631,0.08919619321034744,0.20996523911826875,0.20996523911826875,0.007343945608556284,-0.02106629179718248,-0.007017827361602155,-0.040322273446960696,0.15902777049364802,0.20963473369036306,-0.0016727767332810576,0.0023971353679036207,0.03438042658542792,0.018689211952290088,0.006021935459840184,0.013711033625637343,-0.014131648697444857,-0.003301859594952122,0.020185567734671846,0.04242899588381738,-0.0567876549102471,-0.04018036632309315,0.022166663756486262,-0.0015982216921871125,0.03279513442077308,-0.001254357208796841,0.01042105050807234,-0.01266616733933131,-0.022141434309451678,0.027594098785773957,-0.0013232780080345966,0.015304536039547467,-0.03794651205346823,-0.03441071150208995,-0.010475015278006938,-0.028362193313689988,-0.013674307754848892,-0.017979493242134187,-0.025183226543460134,-0.01320124832979099,0.13097010996724281,-0.011722368203300014,0.01365288277449987,0.0012514628469042024,0.0055375222982113675,0.11288490664212245
avg_basket_units,0.004249742678974265,0.10031241899678427,0.5862092612429778,1.0,0.05672094209079886,0.015686792532790424,0.008831508077651422,0.01380403631364025,0.06904917706539684,0.06904917706539684,-0.008148473996103378,-0.013257557021695806,-0.0007950346063207196,0.00915129822320429,0.06791510332610125,0.09673395423333761,-0.058207089382785605,-0.04424448390649487,-0.035345335612108085,0.04687987885220714,-0.00294831544668367,-0.0030380670611496186,0.006911925650215689,-0.002041411955141819,0.03850793016760889,0.04243885229360884,-0.021372334227445385,-0.02500044420587072,0.07093982231727892,-0.009685650450172804,0.010348462301146189,-0.01977648704348038,0.012461728569012752,-0.010243403442621342,-0.010333439065525491,0.002602181667551441,0.006316217241619587,0.002382865228383223,-0.01275867542563699,-0.02468544851413959,-0.01389419867751546,-0.009195437673719857,0.0074335001627553856,-0.005551346947131284,-0.015131206306261804,-0.014277226256450405,0.05502270707923119,-0.007632257795795818,-0.009086122232150693,-0.001582593612706169,-0.0029354711415727577,0.022898945528336892
avg_distinct_products_per_order,-0.01294187096825991,0.009735752516242025,0.19506797536153117,0.05672094209079886,1.0,-0.029045658513630675,-0.013185916893401881,0.4239028006207507,0.01292319339052589,0.01292319339052589,0.0014025681087332777,-0.018183882935595263,-0.011174646852844639,-0.006794718386384923,-0.06138938625478603,-0.0879204186255501,-0.13503173115697037,-0.15471284338473387,0.2882095429232353,-0.004631963202661076,-0.006543563333986794,-0.035457100147693744,-0.029714351600540017,0.041372904740733615,0.004377505737512296,0.05414774322913765,-0.10409907169069674,0.03874888391688797,0.035622417948237055,-0.037476281093700645,-0.03214548782637328,-0.017583879162960274,0.05001601495891834,0.03621043774669779,0.02066119297908533,0.04760049443941894,0.03780589916018399,0.0658268483902632,-0.008693904006687021,0.003906304451131554,0.016090517599400223,-0.09587461144938922,0.03145190411231267,-0.013512125519100708,-0.03170315821710895,0.02199253982627809,-0.033648690713963515,0.07185326178876181,0.0396794123471772,0.015571341809442052,0.13015285988978162,0.0866075891307171
recency_days,-0.33552523230578746,-0.16706253381945013,-0.03092872089559265,0.015686792532790424,-0.029045658513630675,1.0,0.12697778561415868,-0.36214639509620244,-0.16837462632282074,-0.16837462632282074,-0.2858641547526738,-0.2251009606085778,-0.024474789943309046,0.6484757860388008,0.04108134740954717,-0.16210729531034304,-0.09834430891821781,-0.07550043926391199,-0.2760683376251595,0.006778304578490584,-0.24450099651100612,-0.0474571562914125,0.0367138044460435,-0.01197576188008674,-0.014687946420851231,-0.0010049276272567403,0.020539107950989125,0.022239578590345678,0.0016804997055308562,-0.05489405790541757,0.07329328767442375,0.04055043304269282,-0.05191871167100062,0.024509737729246986,0.030666366211119536,-0.06236355788790772,0.03209053470590562,0.03317814119593731,0.1047802189014497,-0.02418321677738038,0.011190298273816695,0.043504441719259865,-0.033076877503612316,0.016674029145841825,-0.02387778481466291,0.03500891316666656,0.07416736584235646,-0.034920222436432675,-0.060561660497720944,-0.07501153319541694,-0.05013605466968652,-0.8570538431144078
customer_tenure_days,0.2802191209996125,0.14943054210966678,0.02442558161891631,0.008831508077651422,-0.013185916893401881,0.12697778561415868,1.0,0.28789014119297734,0.1489899217734055,0.1489899217734055,0.2557943959175173,0.22946804534276422,0.004352647884336476,-0.49815535364401525,0.004728057636487969,-0.0006508117407359873,0.017298269055331297,-0.030143105099375456,0.22195002227728547,0.012972560795202826,-0.04327667366704208,0.03850252656007897,0.02890362928630384,-0.058155829674377844,-0.03340597294427892,0.00687338356253548,-0.0357435794349446,0.003380304316022792,-0.001850317368140161,-0.026815209965141494,0.024431464817348272,0.09561121312780056,-0.08464841103875792,-0.023890104250323035,0.007873619746260276,-0.07253536357339839,-0.0008777668778054289,-0.011111336756093708,0.02423582031434453,-0.061632555730675345,0.009914558285417534,0.07706857578767204,-0.06306871073139714,0.02894427278764802,-0.009571662644339883,0.03239861410365182,0.014283596124906199,-0.046697085087923265,0.034426704093904185,-0.08250304291816207,-0.02897403814083577,0.25120088358111237
unique_product_count,0.7349392657472998,0.42888975504008664,0.08919619321034744,0.01380403631364025,0.4239028006207507,-0.36214639509620244,0.28789014119297734,1.0,0.4300771741359325,0.4300771741359325,-0.043617962810073505,0.01389825019663763,-0.07808748863209487,-0.432075877551498,-0.030063099880584518,0.033225143709474936,-0.036324258382658806,-0.06712321829864094,0.402671773424151,0.0046249256611925966,0.057628276540104426,0.024469167631565834,-0.006705150814885357,-0.014549715765522558,-0.017346210705957477,0.04156795163577324,-0.0693650112703865,0.013618147436103567,0.02071889431951962,0.005030166492500987,-0.03159384351305376,0.018966453056400503,-0.01267576334868739,0.0017197722343691648,-0.003864303758824613,0.0242316873459441,0.004273472060421515,0.017602739939990654,-0.03293758367275725,0.0008385681225812631,0.0018536195211685356,-0.04560489847750449,-0.01140958800495071,-0.013295384215745845,-0.008429921075230756,0.012027046261542867,-0.03892190308370939,0.03147634319787826,0.045613829467234676,0.024278760976789427,0.06901288392535286,0.547928480221289
net_spend,0.6370922498834302,0.9928847290304216,0.20996523911826875,0.06904917706539684,0.01292319339052589,-0.16837462632282074,0.1489899217734055,0.4300771741359325,1.0,1.0,-0.06356206991627346,-0.029854568140244453,-0.06535902293603378,-0.191753844457293,0.0003852127094182326,0.15352724513727917,0.035874431152570205,0.032854645072815235,0.137146330812668,0.00857216062477018,0.019629016983565964,0.03551465123477433,-0.004749218641657089,-0.012636179674119905,-0.005113995100448277,0.025744890599368842,-0.026928238369716428,-0.03175598228721537,0.004109370418389773,0.0457998731065255,-0.002413230520388955,0.01940308556109505,-0.0005499387162953708,-0.019976705921603014,-0.02231361269317686,0.0020189689201879856,0.004291817266475427,-8.243238256912418e-05,-0.027246906595271715,-0.01563247331868287,0.007348711244506076,-0.008104050481756804,-0.024267426359346488,-0.0008365814414914438,0.002394390880152059,0.0008168461752069099,-0.020962055695474806,-0.0013586867867141957,0.017758798974829293,0.002490787384373701,0.020100300065149047,0.2715450324023533
historical_customer_value,0.6370922498834302,0.9928847290304216,0.20996523911826875,0.06904917706539684,0.01292319339052589,-0.16837462632282074,0.1489899217734055,0.4300771741359325,1.0,1.0,-0.06356206991627346,-0.029854568140244453,-0.06535902293603378,-0.191753844457293,0.0003852127094182326,0.15352724513727917,0.035874431152570205,0.032854645072815235,0.137146330812668,0.00857216062477018,0.019629016983565964,0.03551465123477433,-0.004749218641657089,-0.012636179674119905,-0.005113995100448277,0.025744890599368842,-0.026928238369716428,-0.03175598228721537,0.004109370418389773,0.0457998731065255,-0.002413230520388955,0.01940308556109505,-0.0005499387162953708,-0.019976705921603014,-0.02231361269317686,0.0020189689201879856,0.004291817266475427,-8.243238256912418e-05,-0.027246906595271715,-0.01563247331868287,0.007348711244506076,-0.008104050481756804,-0.024267426359346488,-0.0008365814414914438,0.002394390880152059,0.0008168461752069099,-0.020962055695474806,-0.0013586867867141957,0.017758798974829293,0.002490787384373701,0.020100300065149047,0.2715450324023533
